Date,Close
2015-03-03,"19,23"
2015-03-04,"19,14"
2015-03-05,"19,39"
2015-03-06,19
2015-03-09,"18,93"
2015-03-10,"18,48"
2015-03-11,"18,32"
2015-03-12,"18,71"
2015-03-13,"18,53"
2015-03-16,"18,67"
2015-03-17,"18,6"
2015-03-18,"18,76"
2015-03-19,"18,66"
2015-03-20,"18,92"
2015-03-23,"18,76"
2015-03-24,"18,7"
2015-03-25,"18,55"
2015-03-26,"18,37"
2015-03-27,"18,53"
2015-03-30,"18,73"
2015-03-31,"18,61"
2015-04-01,"18,51"
2015-04-02,"18,61"
2015-04-06,"18,85"
2015-04-07,"18,72"
2015-04-08,"19,06"
2015-04-09,"19,18"
2015-04-10,"19,13"
2015-04-13,"19,12"
2015-04-14,"19,26"
2015-04-15,"19,17"
2015-04-16,"19,3"
2015-04-17,"18,78"
2015-04-20,"19,48"
2015-04-21,"19,56"
2015-04-22,"19,49"
2015-04-23,"19,5"
2015-04-24,"22,26"
2015-04-27,"21,93"
2015-04-28,"21,47"
2015-04-29,"21,47"
2015-04-30,"21,09"
2015-05-01,"21,14"
2015-05-04,"21,15"
2015-05-05,"21,06"
2015-05-06,"20,96"
2015-05-07,"21,34"
2015-05-08,"21,68"
2015-05-11,"21,64"
2015-05-12,"21,55"
2015-05-13,"21,34"
2015-05-14,"21,61"
2015-05-15,"21,3"
2015-05-18,"21,26"
2015-05-19,"21,09"
2015-05-20,"21,19"
2015-05-21,"21,58"
2015-05-22,"21,38"
2015-05-26,"21,27"
2015-05-27,"21,57"
2015-05-28,"21,33"
2015-05-29,"21,46"
2015-06-01,"21,55"
2015-06-02,"21,55"
2015-06-03,"21,83"
2015-06-04,"21,54"
2015-06-05,"21,35"
2015-06-08,"21,18"
2015-06-09,"21,27"
2015-06-10,"21,54"
2015-06-11,"21,65"
2015-06-12,"21,5"
2015-06-15,"21,18"
2015-06-16,"21,36"
2015-06-17,"21,39"
2015-06-18,"21,97"
2015-06-19,"21,75"
2015-06-22,"21,81"
2015-06-23,"22,3"
2015-06-24,"22,04"
2015-06-25,"22,01"
2015-06-26,"21,91"
2015-06-29,"21,49"
2015-06-30,"21,7"
2015-07-01,"21,87"
2015-07-02,"21,89"
2015-07-06,"21,8"
2015-07-07,"21,84"
2015-07-08,"21,49"
2015-07-09,"21,72"
2015-07-10,"22,18"
2015-07-13,"22,78"
2015-07-14,"23,28"
2015-07-15,"23,06"
2015-07-16,"23,77"
2015-07-17,"24,15"
2015-07-20,"24,41"
2015-07-21,"24,4"
2015-07-22,"24,41"
2015-07-23,"24,11"
2015-07-24,"26,47"
2015-07-27,"26,57"
2015-07-28,"26,3"
2015-07-29,"26,45"
2015-07-30,"26,84"
2015-07-31,"26,81"
2015-08-03,"26,75"
2015-08-04,"26,6"
2015-08-05,"26,85"
2015-08-06,"26,47"
2015-08-07,"26,13"
2015-08-10,"26,2"
2015-08-11,"26,37"
2015-08-12,"26,3"
2015-08-13,"26,48"
2015-08-14,"26,58"
2015-08-17,"26,76"
2015-08-18,"26,75"
2015-08-19,"26,65"
2015-08-20,"25,79"
2015-08-21,"24,72"
2015-08-24,"23,17"
2015-08-25,"23,32"
2015-08-26,"25,04"
2015-08-27,"25,92"
2015-08-28,"25,9"
2015-08-31,"25,64"
2015-09-01,"24,83"
2015-09-02,"25,53"
2015-09-03,"25,24"
2015-09-04,"24,95"
2015-09-08,"25,88"
2015-09-09,"25,84"
2015-09-10,"26,11"
2015-09-11,"26,47"
2015-09-14,"26,07"
2015-09-15,"26,12"
2015-09-16,"26,37"
2015-09-17,"26,94"
2015-09-18,"27,01"
2015-09-21,"27,42"
2015-09-22,"26,92"
2015-09-23,"26,8"
2015-09-24,"26,69"
2015-09-25,"26,21"
2015-09-28,"25,2"
2015-09-29,"24,8"
2015-09-30,"25,59"
2015-10-01,"26,04"
2015-10-02,"26,63"
2015-10-05,"27,18"
2015-10-06,"26,87"
2015-10-07,"27,1"
2015-10-08,"26,66"
2015-10-09,"26,99"
2015-10-12,"27,51"
2015-10-13,"27,45"
2015-10-14,"27,24"
2015-10-15,"28,12"
2015-10-16,"28,54"
2015-10-19,"28,66"
2015-10-20,"28,04"
2015-10-21,"27,79"
2015-10-22,"28,2"
2015-10-23,"29,95"
2015-10-26,"30,43"
2015-10-27,"30,55"
2015-10-28,"30,86"
2015-10-29,"31,33"
2015-10-30,"31,3"
2015-11-02,"31,42"
2015-11-03,"31,27"
2015-11-04,"32,05"
2015-11-05,"32,78"
2015-11-06,"32,97"
2015-11-09,"32,77"
2015-11-10,"32,98"
2015-11-11,"33,66"
2015-11-12,"33,28"
2015-11-13,"32,12"
2015-11-16,"32,39"
2015-11-17,"32,17"
2015-11-18,"33,18"
2015-11-19,"33,06"
2015-11-20,"33,42"
2015-11-23,"33,95"
2015-11-24,"33,56"
2015-11-25,"33,77"
2015-11-27,"33,66"
2015-11-30,"33,24"
2015-12-01,"33,95"
2015-12-02,"33,8"
2015-12-03,"33,31"
2015-12-04,"33,63"
2015-12-07,"33,49"
2015-12-08,"33,87"
2015-12-09,"33,24"
2015-12-10,"33,12"
2015-12-11,"32,01"
2015-12-14,"32,9"
2015-12-15,"32,93"
2015-12-16,"33,79"
2015-12-17,"33,53"
2015-12-18,"33,21"
2015-12-21,"33,23"
2015-12-22,"33,16"
2015-12-23,"33,19"
2015-12-24,"33,14"
2015-12-28,"33,76"
2015-12-29,"34,7"
2015-12-30,"34,45"
2015-12-31,"33,79"
2016-01-04,"31,85"
2016-01-05,"31,69"
2016-01-06,"31,63"
2016-01-07,"30,4"
2016-01-08,"30,35"
2016-01-11,"30,89"
2016-01-12,"30,89"
2016-01-13,"29,09"
2016-01-14,"29,65"
2016-01-15,"28,51"
2016-01-19,"28,72"
2016-01-20,"28,59"
2016-01-21,"28,75"
2016-01-22,"29,82"
2016-01-25,"29,83"
2016-01-26,"30,06"
2016-01-27,"29,17"
2016-01-28,"31,77"
2016-01-29,"29,35"
2016-02-01,"28,74"
2016-02-02,"27,61"
2016-02-03,"26,55"
2016-02-04,"26,81"
2016-02-05,"25,11"
2016-02-08,"24,41"
2016-02-09,"24,1"
2016-02-10,"24,52"
2016-02-11,"25,19"
2016-02-12,"25,35"
2016-02-16,"26,06"
2016-02-17,"26,71"
2016-02-18,"26,25"
2016-02-19,"26,75"
2016-02-22,"27,98"
2016-02-23,"27,65"
2016-02-24,"27,7"
2016-02-25,"27,76"
2016-02-26,"27,76"
2016-02-29,"27,63"
2016-03-01,"28,95"
2016-03-02,"29,01"
2016-03-03,"28,87"
2016-03-04,"28,76"
2016-03-07,"28,14"
2016-03-08,"28,01"
2016-03-09,"27,97"
2016-03-10,"27,95"
2016-03-11,"28,48"
2016-03-14,"28,67"
2016-03-15,"28,85"
2016-03-16,"28,71"
2016-03-17,"27,97"
2016-03-18,"27,6"
2016-03-21,"27,7"
2016-03-22,"28,02"
2016-03-23,"28,48"
2016-03-24,"29,15"
2016-03-28,"28,99"
2016-03-29,"29,69"
2016-03-30,"29,93"
2016-03-31,"29,68"
2016-04-01,"29,93"
2016-04-04,"29,66"
2016-04-05,"29,31"
2016-04-06,"30,1"
2016-04-07,"29,57"
2016-04-08,"29,73"
2016-04-11,"29,8"
2016-04-12,"30,16"
2016-04-13,"30,74"
2016-04-14,"31,04"
2016-04-15,"31,29"
2016-04-18,"31,77"
2016-04-19,"31,4"
2016-04-20,"31,65"
2016-04-21,"31,55"
2016-04-22,"31,03"
2016-04-25,"31,31"
2016-04-26,"30,84"
2016-04-27,"30,33"
2016-04-28,"30,1"
2016-04-29,"32,98"
2016-05-02,"34,19"
2016-05-03,"33,57"
